,date,dateSubmitted,region,country,division,location,regionExposure,countryExposure,divisionExposure,age,sex,host,samplingStrategy,pangoLineage,nextcladePangoLineage,nextstrainClade,gisaidClade,submittingLab,originatingLab,count
0,2022-06-29,2022-12-28,Asia,South Korea,South Korea,,Asia,South Korea,South Korea,,,,,BA.5.2,BA.5.2,22B,,"Jeollabukdo Institute of Health and Environment Research, Emerging Infectious Disease",,1
1,2022-04-13,2022-11-14,Asia,South Korea,South Korea,,Asia,South Korea,South Korea,,,Homo sapiens,,BA.2.3,BA.2.3.8,21L,,"Kangdong Sacred Heart Hospital, Hallym University College of Medicine, Department of Laboratory Medicine",,1
2,2022-04-16,2022-12-28,Asia,South Korea,South Korea,,Asia,South Korea,South Korea,,,,,BA.2.3,BA.2.3,21L,,"Jeollabukdo Institute of Health and Environment Research, Emerging Infectious Disease",,1
3,2022-04-20,2022-11-14,Asia,South Korea,South Korea,,Asia,South Korea,South Korea,,,Homo sapiens,,BA.2,BA.2,21L,,"Kangdong Sacred Heart Hospital, Hallym University College of Medicine, Department of Laboratory Medicine",,3
4,2022-03-10,2022-11-14,Asia,South Korea,South Korea,,Asia,South Korea,South Korea,,,Homo sapiens,,BA.2.3,BA.2.3,21L,,"Kangdong Sacred Heart Hospital, Hallym University College of Medicine, Department of Laboratory Medicine",,2
5,2022-04-20,2022-11-14,Asia,South Korea,South Korea,,Asia,South Korea,South Korea,,,Homo sapiens,,BA.2.68,BA.2.68,21L,,"Kangdong Sacred Heart Hospital, Hallym University College of Medicine, Department of Laboratory Medicine",,2
6,2022-07-17,2022-12-28,Asia,South Korea,South Korea,,Asia,South Korea,South Korea,,,,,BA.5.2,BA.5.2,22B,,"Jeollabukdo Institute of Health and Environment Research, Emerging Infectious Disease",,1
7,2022-07-27,2022-12-28,Asia,South Korea,South Korea,,Asia,South Korea,South Korea,,,,,BA.5.2,BA.5.2,22B,,"Jeollabukdo Institute of Health and Environment Research, Emerging Infectious Disease",,2
8,2022-02-13,2022-12-28,Asia,South Korea,South Korea,,Asia,South Korea,South Korea,,,,,BA.1.1,BA.1.1,21K,,"Jeollabukdo Institute of Health and Environment Research, Emerging Infectious Disease",,1
9,2022-03-15,2022-11-14,Asia,South Korea,South Korea,,Asia,South Korea,South Korea,,,Homo sapiens,,BA.1.1,BA.1.1,21K,,"Kangdong Sacred Heart Hospital, Hallym University College of Medicine, Department of Laboratory Medicine",,2
10,2022-03-28,2022-12-28,Asia,South Korea,South Korea,,Asia,South Korea,South Korea,,,,,BA.1.1,BA.1.1,21K,,"Jeollabukdo Institute of Health and Environment Research, Emerging Infectious Disease",,1
11,2022-07-11,2022-12-28,Asia,South Korea,South Korea,,Asia,South Korea,South Korea,,,,,BA.5.2,BA.5.2,22B,,"Jeollabukdo Institute of Health and Environment Research, Emerging Infectious Disease",,1
12,2022-07-18,2022-12-28,Asia,South Korea,South Korea,,Asia,South Korea,South Korea,,,,,BA.5.2.1,BA.5.2.1,22B,,"Jeollabukdo Institute of Health and Environment Research, Emerging Infectious Disease",,1
13,2022-07-12,2022-12-28,Asia,South Korea,South Korea,,Asia,South Korea,South Korea,,,,,BA.5.2.1,BA.5.2.1,22B,,"Jeollabukdo Institute of Health and Environment Research, Emerging Infectious Disease",,1
14,2022-07-27,2022-12-28,Asia,South Korea,South Korea,,Asia,South Korea,South Korea,,,,,BA.5.2.1,BA.5.2,22B,,"Jeollabukdo Institute of Health and Environment Research, Emerging Infectious Disease",,1
15,2022-02-14,2022-11-14,Asia,South Korea,South Korea,,Asia,South Korea,South Korea,,,Homo sapiens,,BA.1.1,BA.1.1,21K,,"Kangdong Sacred Heart Hospital, Hallym University College of Medicine, Department of Laboratory Medicine",,1
16,2022-06-30,2022-12-28,Asia,South Korea,South Korea,,Asia,South Korea,South Korea,,,,,BA.2,BA.2,21L,,"Jeollabukdo Institute of Health and Environment Research, Emerging Infectious Disease",,1
17,2022-07-12,2023-08-14,Asia,South Korea,Seoul,,Asia,South Korea,Seoul,,,Mus musculus,,B.1.497,B.1.497,20C,,"Seoul National University, Department of Biomedical Sciences",,1
18,2022-03-11,2022-11-14,Asia,South Korea,South Korea,,Asia,South Korea,South Korea,,,Homo sapiens,,BA.2.3,BA.2.3,21L,,"Kangdong Sacred Heart Hospital, Hallym University College of Medicine, Department of Laboratory Medicine",,1
